alg,n,proc,threads,primes,time
3,25,8,1,2063689,0.135563
3,26,8,1,3957809,0.238441
3,27,8,1,7603553,0.353246
3,28,8,1,14630843,0.790442
3,29,8,1,28192750,1.58515
3,30,8,1,54400028,2.98553
3,31,8,1,105097565,5.90228
3,32,8,1,203280221,12.0785
3,25,8,2,2063689,0.0409913
3,26,8,2,3957809,0.149579
3,27,8,2,7603553,0.299036
3,28,8,2,14630843,0.610538
3,29,8,2,28192750,1.17432
3,30,8,2,54400028,2.48367
3,31,8,2,105097565,5.02696
3,32,8,2,203280221,10.3822
3,25,8,3,2063689,0.0380916
3,26,8,3,3957809,0.120557
3,27,8,3,7603553,0.276556
3,28,8,3,14630843,0.601514
3,29,8,3,28192750,1.25372
3,30,8,3,54400028,2.47053
3,31,8,3,105097565,5.05399
3,32,8,3,203280221,10.3387
3,25,8,4,2063689,0.0490803
3,26,8,4,3957809,0.121805
3,27,8,4,7603553,0.273917
3,28,8,4,14630843,0.591861
3,29,8,4,28192750,1.20542
3,30,8,4,54400028,2.43663
3,31,8,4,105097565,5.14708
3,32,8,4,203280221,10.695
