alg,n,proc,threads,primes,time
0,25,0,0,2063689,0.252646
0,26,0,0,3957809,0.537588
0,27,0,0,7603553,1.14543
0,28,0,0,14630843,2.51151
0,29,0,0,28192750,5.10923
0,30,0,0,54400028,10.5752
0,31,0,0,105097565,21.7987
0,32,0,0,203280221,44.991
1,25,0,0,2063689,0.197593
1,26,0,0,3957809,0.445333
1,27,0,0,7603553,0.991357
1,28,0,0,14630843,2.06378
1,29,0,0,28192750,4.20251
1,30,0,0,54400028,8.64619
1,31,0,0,105097565,17.8142
1,32,0,0,203280221,36.5789
1,25,0,1,2063689,0.242307
1,26,0,1,3957809,0.533214
1,27,0,1,7603553,1.14588
1,28,0,1,14630843,2.41177
1,29,0,1,28192750,5.04113
1,30,0,1,54400028,10.407
1,31,0,1,105097565,22.1977
1,32,0,1,203280221,46.1781
1,25,0,2,2063689,0.205741
1,26,0,2,3957809,0.437708
1,27,0,2,7603553,0.948278
1,28,0,2,14630843,1.99569
1,29,0,2,28192750,4.37918
1,30,0,2,54400028,9.1282
1,31,0,2,105097565,17.9021
1,32,0,2,203280221,36.4374
1,25,0,3,2063689,0.187671
1,26,0,3,3957809,0.461918
1,27,0,3,7603553,0.942016
1,28,0,3,14630843,2.06825
1,29,0,3,28192750,4.10838
1,30,0,3,54400028,8.36053
1,31,0,3,105097565,17.247
1,32,0,3,203280221,35.5637
1,25,0,4,2063689,0.20787
1,26,0,4,3957809,0.45827
1,27,0,4,7603553,0.943366
1,28,0,4,14630843,2.21816
1,29,0,4,28192750,4.34804
1,30,0,4,54400028,8.3925
1,31,0,4,105097565,18.3176
1,32,0,4,203280221,37.2413
1,25,0,5,2063689,0.20321
1,26,0,5,3957809,0.459317
1,27,0,5,7603553,0.981999
1,28,0,5,14630843,2.06584
1,29,0,5,28192750,4.29127
1,30,0,5,54400028,8.7936
1,31,0,5,105097565,18.1523
1,32,0,5,203280221,37.6727
1,25,0,6,2063689,0.201726
1,26,0,6,3957809,0.455658
1,27,0,6,7603553,0.961306
1,28,0,6,14630843,1.99404
1,29,0,6,28192750,4.17878
1,30,0,6,54400028,8.62625
1,31,0,6,105097565,17.8357
1,32,0,6,203280221,36.9519
1,25,0,7,2063689,0.199805
1,26,0,7,3957809,0.475996
1,27,0,7,7603553,1.02833
1,28,0,7,14630843,2.25472
1,29,0,7,28192750,4.2267
1,30,0,7,54400028,8.67392
1,31,0,7,105097565,17.7007
1,32,0,7,203280221,36.5006
1,25,0,8,2063689,0.204196
1,26,0,8,3957809,0.439667
1,27,0,8,7603553,1.00675
1,28,0,8,14630843,2.04378
1,29,0,8,28192750,4.21052
1,30,0,8,54400028,8.64084
1,31,0,8,105097565,17.8106
1,32,0,8,203280221,36.6043
2,25,1,0,2063689,0.238812
2,26,1,0,3957809,0.528481
2,27,1,0,7603553,1.13958
2,28,1,0,14630843,2.44211
2,29,1,0,28192750,5.06044
2,30,1,0,54400028,10.4928
2,31,1,0,105097565,21.7659
2,32,1,0,203280221,45.0033
2,25,2,0,2063689,0.10512
2,26,2,0,3957809,0.26626
2,27,2,0,7603553,0.590424
2,28,2,0,14630843,1.25783
2,29,2,0,28192750,2.63806
2,30,2,0,54400028,5.4661
2,31,2,0,105097565,11.2998
2,32,2,0,203280221,23.3406
2,25,3,0,2063689,0.0536092
2,26,3,0,3957809,0.163448
2,27,3,0,7603553,0.386038
2,28,3,0,14630843,0.831504
2,29,3,0,28192750,1.74975
2,30,3,0,54400028,3.64675
2,31,3,0,105097565,7.57572
2,32,3,0,203280221,15.6347
2,25,4,0,2063689,0.039833
2,26,4,0,3957809,0.115295
2,27,4,0,7603553,0.284672
2,28,4,0,14630843,0.617127
2,29,4,0,28192750,1.31807
2,30,4,0,54400028,2.741
2,31,4,0,105097565,6.37691
2,32,4,0,203280221,12.457
2,25,5,0,2063689,0.0516591
2,26,5,0,3957809,0.177314
2,27,5,0,7603553,0.350042
2,28,5,0,14630843,0.764261
2,29,5,0,28192750,1.59353
2,30,5,0,54400028,3.30459
2,31,5,0,105097565,6.93747
2,32,5,0,203280221,14.1604
2,25,6,0,2063689,0.0746472
2,26,6,0,3957809,0.146428
2,27,6,0,7603553,0.334511
2,28,6,0,14630843,0.661108
2,29,6,0,28192750,1.36406
2,30,6,0,54400028,2.85846
2,31,6,0,105097565,5.95307
2,32,6,0,203280221,12.2129
2,25,7,0,2063689,0.0370362
2,26,7,0,3957809,0.129559
2,27,7,0,7603553,0.277364
2,28,7,0,14630843,0.561568
2,29,7,0,28192750,1.25819
2,30,7,0,54400028,2.78957
2,31,7,0,105097565,5.03056
2,32,7,0,203280221,10.4523
2,25,8,0,2063689,0.0253746
2,26,8,0,3957809,0.126288
2,27,8,0,7603553,0.247727
2,28,8,0,14630843,0.497902
2,29,8,0,28192750,1.03833
2,30,8,0,54400028,2.18429
2,31,8,0,105097565,4.59245
2,32,8,0,203280221,11.0269
2,25,9,0,2063689,0.0456773
2,26,9,0,3957809,0.12816
2,27,9,0,7603553,0.284467
2,28,9,0,14630843,0.692022
2,29,9,0,28192750,1.48606
2,30,9,0,54400028,2.7233
2,31,9,0,105097565,5.4432
2,32,9,0,203280221,11.1428
2,25,10,0,2063689,0.0660028
2,26,10,0,3957809,0.181042
2,27,10,0,7603553,0.294227
2,28,10,0,14630843,0.686225
2,29,10,0,28192750,1.32248
2,30,10,0,54400028,2.58207
2,31,10,0,105097565,5.16665
2,32,10,0,203280221,10.7322
2,25,11,0,2063689,0.0362007
2,26,11,0,3957809,0.155449
2,27,11,0,7603553,0.248217
2,28,11,0,14630843,0.532676
2,29,11,0,28192750,1.18634
2,30,11,0,54400028,2.25717
2,31,11,0,105097565,4.60293
2,32,11,0,203280221,9.80014
2,25,12,0,2063689,0.0296591
2,26,12,0,3957809,0.133826
2,27,12,0,7603553,0.244467
2,28,12,0,14630843,0.520559
2,29,12,0,28192750,1.0319
2,30,12,0,54400028,2.32187
2,31,12,0,105097565,4.81122
2,32,12,0,203280221,9.21849
2,25,13,0,2063689,0.0780501
2,26,13,0,3957809,0.101327
2,27,13,0,7603553,0.277434
2,28,13,0,14630843,0.572264
2,29,13,0,28192750,1.24158
2,30,13,0,54400028,2.63808
2,31,13,0,105097565,5.04952
2,32,13,0,203280221,10.4506
2,25,14,0,2063689,0.0602018
2,26,14,0,3957809,0.118373
2,27,14,0,7603553,0.268962
2,28,14,0,14630843,0.56326
2,29,14,0,28192750,1.15539
2,30,14,0,54400028,2.52684
2,31,14,0,105097565,4.96329
2,32,14,0,203280221,10.055
2,25,15,0,2063689,0.0355201
2,26,15,0,3957809,0.129395
2,27,15,0,7603553,0.273542
2,28,15,0,14630843,0.55074
2,29,15,0,28192750,1.13376
2,30,15,0,54400028,2.28236
2,31,15,0,105097565,4.65382
2,32,15,0,203280221,9.62217
2,25,16,0,2063689,0.0554394
2,26,16,0,3957809,0.102405
2,27,16,0,7603553,0.262992
2,28,16,0,14630843,0.510649
2,29,16,0,28192750,1.11391
2,30,16,0,54400028,2.19394
2,31,16,0,105097565,4.44212
2,32,16,0,203280221,9.03675
3,25,4,1,2063689,0.0324406
3,26,4,1,3957809,0.117803
3,27,4,1,7603553,0.280956
3,28,4,1,14630843,0.626726
3,29,4,1,28192750,1.31878
3,30,4,1,54400028,2.78476
3,31,4,1,105097565,5.75474
