alg,n,proc,threads,primes,time
3,25,12,1,2063689,0.134662
3,26,12,1,3957809,0.167697
3,27,12,1,7603553,0.356405
3,28,12,1,14630843,0.702574
3,29,12,1,28192750,1.19066
3,30,12,1,54400028,2.76299
3,31,12,1,105097565,5.71399
3,32,12,1,203280221,10.6507
3,25,12,2,2063689,0.0401391
3,26,12,2,3957809,0.133488
3,27,12,2,7603553,0.287879
3,28,12,2,14630843,0.545319
3,29,12,2,28192750,1.16804
3,30,12,2,54400028,2.34512
3,31,12,2,105097565,4.83898
3,32,12,2,203280221,10.1626
3,25,12,3,2063689,0.0653241
3,26,12,3,3957809,0.128059
3,27,12,3,7603553,0.291597
3,28,12,3,14630843,0.624955
3,29,12,3,28192750,1.20027
3,30,12,3,54400028,2.54084
3,31,12,3,105097565,5.24707
3,32,12,3,203280221,10.6609
