alg,n,proc,threads,primes,time
3,25,4,1,2063689,0.108089
3,26,4,1,3957809,0.249043
3,27,4,1,7603553,0.542182
3,28,4,1,14630843,1.12403
3,29,4,1,28192750,2.39578
3,30,4,1,54400028,4.89458
3,31,4,1,105097565,10.0818
3,32,4,1,203280221,21.5107
3,25,4,2,2063689,0.0707558
3,26,4,2,3957809,0.179373
3,27,4,2,7603553,0.401045
3,28,4,2,14630843,0.744509
3,29,4,2,28192750,1.51788
3,30,4,2,54400028,3.11128
3,31,4,2,105097565,6.36755
3,32,4,2,203280221,13.0476
3,25,4,3,2063689,0.0521735
3,26,4,3,3957809,0.14466
3,27,4,3,7603553,0.315786
3,28,4,3,14630843,0.655409
3,29,4,3,28192750,1.36625
3,30,4,3,54400028,2.86321
3,31,4,3,105097565,5.72598
3,32,4,3,203280221,11.6807
3,25,4,4,2063689,0.0489759
3,26,4,4,3957809,0.135513
3,27,4,4,7603553,0.308979
3,28,4,4,14630843,0.65399
3,29,4,4,28192750,1.39561
3,30,4,4,54400028,2.85874
3,31,4,4,105097565,5.78523
3,32,4,4,203280221,11.674
3,25,4,5,2063689,0.0536321
3,26,4,5,3957809,0.144151
3,27,4,5,7603553,0.331026
3,28,4,5,14630843,0.701277
3,29,4,5,28192750,1.41665
3,30,4,5,54400028,2.85358
3,31,4,5,105097565,5.81752
3,32,4,5,203280221,11.7719
3,25,4,6,2063689,0.0419842
3,26,4,6,3957809,0.138944
3,27,4,6,7603553,0.297694
3,28,4,6,14630843,0.650934
3,29,4,6,28192750,1.35766
3,30,4,6,54400028,2.80731
3,31,4,6,105097565,5.9315
3,32,4,6,203280221,12.0634
3,25,4,7,2063689,0.0476628
3,26,4,7,3957809,0.1512
3,27,4,7,7603553,0.372207
3,28,4,7,14630843,0.737221
3,29,4,7,28192750,1.50432
3,30,4,7,54400028,3.10294
3,31,4,7,105097565,5.55637
3,32,4,7,203280221,11.4502
3,25,4,8,2063689,0.0448602
3,26,4,8,3957809,0.138295
3,27,4,8,7603553,0.303496
3,28,4,8,14630843,0.6714
3,29,4,8,28192750,1.3747
3,30,4,8,54400028,2.71312
3,31,4,8,105097565,5.52365
3,32,4,8,203280221,11.2573
3,25,8,1,2063689,0.135563
3,26,8,1,3957809,0.238441
3,27,8,1,7603553,0.353246
3,28,8,1,14630843,0.790442
3,29,8,1,28192750,1.58515
3,30,8,1,54400028,2.98553
3,31,8,1,105097565,5.90228
3,32,8,1,203280221,12.0785
3,25,8,2,2063689,0.0409913
3,26,8,2,3957809,0.149579
3,27,8,2,7603553,0.299036
3,28,8,2,14630843,0.610538
3,29,8,2,28192750,1.17432
3,30,8,2,54400028,2.48367
3,31,8,2,105097565,5.02696
3,32,8,2,203280221,10.3822
3,25,8,3,2063689,0.0380916
3,26,8,3,3957809,0.120557
3,27,8,3,7603553,0.276556
3,28,8,3,14630843,0.601514
3,29,8,3,28192750,1.25372
3,30,8,3,54400028,2.47053
3,31,8,3,105097565,5.05399
3,32,8,3,203280221,10.3387
3,25,8,4,2063689,0.0490803
3,26,8,4,3957809,0.121805
3,27,8,4,7603553,0.273917
3,28,8,4,14630843,0.591861
3,29,8,4,28192750,1.20542
3,30,8,4,54400028,2.43663
3,31,8,4,105097565,5.14708
3,32,8,4,203280221,10.695
3,25,12,1,2063689,0.134662
3,26,12,1,3957809,0.167697
3,27,12,1,7603553,0.356405
3,28,12,1,14630843,0.702574
3,29,12,1,28192750,1.19066
3,30,12,1,54400028,2.76299
3,31,12,1,105097565,5.71399
3,32,12,1,203280221,10.6507
3,25,12,2,2063689,0.0401391
3,26,12,2,3957809,0.133488
3,27,12,2,7603553,0.287879
3,28,12,2,14630843,0.545319
3,29,12,2,28192750,1.16804
3,30,12,2,54400028,2.34512
3,31,12,2,105097565,4.83898
3,32,12,2,203280221,10.1626
3,25,12,3,2063689,0.0653241
3,26,12,3,3957809,0.128059
3,27,12,3,7603553,0.291597
3,28,12,3,14630843,0.624955
3,29,12,3,28192750,1.20027
3,30,12,3,54400028,2.54084
3,31,12,3,105097565,5.24707
3,32,12,3,203280221,10.6609
3,25,16,1,2063689,0.0444483
3,26,16,1,3957809,0.158204
3,27,16,1,7603553,0.317519
3,28,16,1,14630843,0.579885
3,29,16,1,28192750,1.2611
3,30,16,1,54400028,2.49369
3,31,16,1,105097565,5.19606
3,32,16,1,203280221,10.4273
3,25,16,2,2063689,0.069999
3,26,16,2,3957809,0.126097
3,27,16,2,7603553,0.258562
3,28,16,2,14630843,0.543952
3,29,16,2,28192750,1.1366
3,30,16,2,54400028,2.32274
3,31,16,2,105097565,4.75391
3,32,16,2,203280221,9.8269
